source,target,sentence,document
UN,Secretariat,"My hope was Negroponte being in  the UN 
Secretariat would do damage control and get somehow  the Boss to 
address the problem, in the best interest of the Se cretary 
General.  ",24.pdf
Secretariat,Boss,"My hope was Negroponte being in  the UN 
Secretariat would do damage control and get somehow  the Boss to 
address the problem, in the best interest of the Se cretary 
General.  ",24.pdf
Boss,Se,"My hope was Negroponte being in  the UN 
Secretariat would do damage control and get somehow  the Boss to 
address the problem, in the best interest of the Se cretary 
General.  ",24.pdf
Mzumara,January 2003,"Mr. Mzumara recalled that in January 2003, the conc erned 
staff member who retired in November 2003 wrote to US Ambassador 
Negroponte concerning grievances of sexual harassme nt at ECA.  
",24.pdf
January 2003,November 2003,"Mr. Mzumara recalled that in January 2003, the conc erned 
staff member who retired in November 2003 wrote to US Ambassador 
Negroponte concerning grievances of sexual harassme nt at ECA.  
",24.pdf
November 2003,US,"Mr. Mzumara recalled that in January 2003, the conc erned 
staff member who retired in November 2003 wrote to US Ambassador 
Negroponte concerning grievances of sexual harassme nt at ECA.  
",24.pdf
US,ECA,"Mr. Mzumara recalled that in January 2003, the conc erned 
staff member who retired in November 2003 wrote to US Ambassador 
Negroponte concerning grievances of sexual harassme nt at ECA.  
",24.pdf
UN Regulations,Organization,"He said that after he received a copy of that commu nication 
through email, he wrote to the staff member and adv ised him that 
it was contrary to UN Regulations for him to commun icate with 
persons external to the Organization.  ",24.pdf
OIOS,2001,"The female staff member informed OIOS that during a n office 
retreat held at the Nazareth Restaurant in 2001, th e manager was 
at the coffee shop with two other staff members, Mr .",24.pdf
"Oluwatete 
Olokodana",Vintzis,"Oluwatete 
Olokodana, Deputy Chief of Security and Mr. Vintzis lav Stokykov, 
Chief, Facilities Management Section, when the mana ger 
approached her saying, “why are you wearing this, i t’s too hot 
here”.",24.pdf
Vintzis,Stokykov,"Oluwatete 
Olokodana, Deputy Chief of Security and Mr. Vintzis lav Stokykov, 
Chief, Facilities Management Section, when the mana ger 
approached her saying, “why are you wearing this, i t’s too hot 
here”.",24.pdf
Stokykov,Facilities Management Section,"Oluwatete 
Olokodana, Deputy Chief of Security and Mr. Vintzis lav Stokykov, 
Chief, Facilities Management Section, when the mana ger 
approached her saying, “why are you wearing this, i t’s too hot 
here”.",24.pdf
Howev,Stoykov,"Howev er, in the 
presence of Mr. Stoykov, he recalled that the femal e staff 
member complained to the manager that she was not f eeling well 
whilst they were having lunch.  
 
",24.pdf
OIOS,Stoykov,"OIOS interviewed Mr. Stoykov who said that such an incident 
did not occur.",24.pdf
al systems,OHRMS,"When asked 
why she had not engaged the various possible intern al systems, 
including OHRMS to have the issue resolved, she sta ted that she 
had not pursued the issue because she did not know how to 
approach it.",24.pdf
ECA,some two years ago,"The female staff member left the employ ment of ECA 
some two years ago and has never taken any steps to  engage any 
United Nations system options to pursue her complai nt. 
 
24.  ",24.pdf
some two years ago,United Nations,"The female staff member left the employ ment of ECA 
some two years ago and has never taken any steps to  engage any 
United Nations system options to pursue her complai nt. 
 
24.  ",24.pdf
Olokodana,Stoy,"Both Mr. Olokodana and Mr. Stoy kov whom she 
claimed witnessed the incident deny that any incide nt occurred 
and reported a substantially different exchange. 
 
",24.pdf
Bongoy – Mawalla,OIOS,"Ms. Bongoy – Mawalla, Chief General Services Sectio n 
explained to OIOS that she was the focal point for women until 
July 2003.  ",24.pdf
OIOS,July 2003,"Ms. Bongoy – Mawalla, Chief General Services Sectio n 
explained to OIOS that she was the focal point for women until 
July 2003.  ",24.pdf
OIOS,Ali Todaro,"During interviews with OIOS, Mr. Ali Todaro, Specia l 
Assistant to the Executive Secretary also denied se xually 
harassing women staff members at ECA as alleged in the anonymous 
emails.  ",24.pdf
Ali Todaro,Specia,"During interviews with OIOS, Mr. Ali Todaro, Specia l 
Assistant to the Executive Secretary also denied se xually 
harassing women staff members at ECA as alleged in the anonymous 
emails.  ",24.pdf
Specia,Executive,"During interviews with OIOS, Mr. Ali Todaro, Specia l 
Assistant to the Executive Secretary also denied se xually 
harassing women staff members at ECA as alleged in the anonymous 
emails.  ",24.pdf
Executive,ECA,"During interviews with OIOS, Mr. Ali Todaro, Specia l 
Assistant to the Executive Secretary also denied se xually 
harassing women staff members at ECA as alleged in the anonymous 
emails.  ",24.pdf
US,Negroponte,"Email messages sent to US Ambassador Negroponte, Pr esident 
Bush, Vice President Cheney, Senators and other per sons external 
to the Organization by The staff member is a contra vention of 
the above Staff Regulation.  ",24.pdf
Negroponte,Bush,"Email messages sent to US Ambassador Negroponte, Pr esident 
Bush, Vice President Cheney, Senators and other per sons external 
to the Organization by The staff member is a contra vention of 
the above Staff Regulation.  ",24.pdf
Bush,Cheney,"Email messages sent to US Ambassador Negroponte, Pr esident 
Bush, Vice President Cheney, Senators and other per sons external 
to the Organization by The staff member is a contra vention of 
the above Staff Regulation.  ",24.pdf
Negroponte,Boss,"My h ope was 
Negroponte being in the UN Secretariat would do dam age control 
and get somehow the Boss to address the problem, in  the best 
interest of the Secretary General.  ",24.pdf
the OIOS Investigators,Organization,"During interviews with the OIOS Investigators, by h is own 
admission, the staff member confirmed communicating  to persons 
outside the Organization.  ",24.pdf
ECA,ECA,"He did not inform ECA ma nagement 
arguing that the ECA internal justice system had co llapsed.  
",24.pdf
US,Negroponte,"He sought 
intervention from US Ambassador Negroponte and othe r persons who 
were external to the Organization.  ",24.pdf
Negroponte,Organization,"He sought 
intervention from US Ambassador Negroponte and othe r persons who 
were external to the Organization.  ",24.pdf
Office of Legal Affairs,OLA,"It is recommended that Office of Legal Affairs (OLA ) send to the 
staff member a cease and desist letter pointing out  that though 
separated from the Organization he has an obligatio n not to 
disseminate official UN information as provided for  in 
Regulation 1.2(i) of the Staff Regulations “Staff m embers shall 
exercise the utmost discretion with regard to all m atters of 
official business.  ",24.pdf
OLA,Organization,"It is recommended that Office of Legal Affairs (OLA ) send to the 
staff member a cease and desist letter pointing out  that though 
separated from the Organization he has an obligatio n not to 
disseminate official UN information as provided for  in 
Regulation 1.2(i) of the Staff Regulations “Staff m embers shall 
exercise the utmost discretion with regard to all m atters of 
official business.  ",24.pdf
Organization,UN,"It is recommended that Office of Legal Affairs (OLA ) send to the 
staff member a cease and desist letter pointing out  that though 
separated from the Organization he has an obligatio n not to 
disseminate official UN information as provided for  in 
Regulation 1.2(i) of the Staff Regulations “Staff m embers shall 
exercise the utmost discretion with regard to all m atters of 
official business.  ",24.pdf
ST,September 1994,"This report is protected under the provisions of 
ST/SGB/273, paragraph 18, of 7 September 1994"" 
 
 
 
 
 
 
 
 
 
OFFICE OF INTERNAL OVERSIGHT SERVICES 
INVESTIGATIONS DIVISION 
 
 
 
REDACTED 
 
REPORT OF INVESTIGATION  
 
ID CASE",26.pdf
20 April 2005,STRICTLY,"NO. 0202/01 
 
 
 
 
 
 
 
 
 
20 April 2005 
 
 
 STRICTLY CONFIDENTIAL  
 2 REPORT INTO THE ALLEGATION THAT AN ECONOMIC COMMISSION OF AFRICA (ECA)  
STAFF MEMBER MISAPPROPRIATED MONEY INTENDED AS DAILY SUBSISTENCE 
ALLOWANCE (DSA)  ",26.pdf
STRICTLY,ECA,"NO. 0202/01 
 
 
 
 
 
 
 
 
 
20 April 2005 
 
 
 STRICTLY CONFIDENTIAL  
 2 REPORT INTO THE ALLEGATION THAT AN ECONOMIC COMMISSION OF AFRICA (ECA)  
STAFF MEMBER MISAPPROPRIATED MONEY INTENDED AS DAILY SUBSISTENCE 
ALLOWANCE (DSA)  ",26.pdf
"The Investigations Division, Office of Internal Ove rsight Services",an Economic Commission of  Africa,"The Investigations Division, Office of Internal Ove rsight Services (ID/OIOS) 
received a complaint that an Economic Commission of  Africa (ECA) staff member 
misappropriated the sum of US$12,000 that was inten ded as Daily Subsistence 
Allowance (DSA) for five participants attending a c onference in Seychelles.",26.pdf
an Economic Commission of  Africa,ECA,"The Investigations Division, Office of Internal Ove rsight Services (ID/OIOS) 
received a complaint that an Economic Commission of  Africa (ECA) staff member 
misappropriated the sum of US$12,000 that was inten ded as Daily Subsistence 
Allowance (DSA) for five participants attending a c onference in Seychelles.",26.pdf
ECA,"12,000","The Investigations Division, Office of Internal Ove rsight Services (ID/OIOS) 
received a complaint that an Economic Commission of  Africa (ECA) staff member 
misappropriated the sum of US$12,000 that was inten ded as Daily Subsistence 
Allowance (DSA) for five participants attending a c onference in Seychelles.",26.pdf
"12,000",Seychelles,"The Investigations Division, Office of Internal Ove rsight Services (ID/OIOS) 
received a complaint that an Economic Commission of  Africa (ECA) staff member 
misappropriated the sum of US$12,000 that was inten ded as Daily Subsistence 
Allowance (DSA) for five participants attending a c onference in Seychelles.",26.pdf
Financial Rule 104.9,ST/SGB/2003/7,"Financial Rule 104.9 (ST/SGB/2003/7)  
 
Officials to whom cash advances are issued shall be  held personally accountable and 
financially liable for the proper management and sa fekeeping of cash so advanced and 
must be in a position to account for these advances  at all times.",26.pdf
monthly,U,"They shall submit 
monthly accounts unless otherwise directed by the U nder-Secretary-General for 
Management. 
 
",26.pdf
Eastern,Southern Africa Sub Regional Meeting,"ID/OIOS determined that the conference in question was “An Eastern and 
Southern Africa Sub Regional Meeting” and was held from 15 to 18 February, 1999 at 
the Berjaja Mahe Beach Resort Hotel in Victoria, Se ychelles.",26.pdf
Southern Africa Sub Regional Meeting,"15 to 18 February, 1999","ID/OIOS determined that the conference in question was “An Eastern and 
Southern Africa Sub Regional Meeting” and was held from 15 to 18 February, 1999 at 
the Berjaja Mahe Beach Resort Hotel in Victoria, Se ychelles.",26.pdf
"15 to 18 February, 1999",Victoria,"ID/OIOS determined that the conference in question was “An Eastern and 
Southern Africa Sub Regional Meeting” and was held from 15 to 18 February, 1999 at 
the Berjaja Mahe Beach Resort Hotel in Victoria, Se ychelles.",26.pdf
"the 
African Centre for Women",the African Cen,"It was organized by the 
African Centre for Women (ACW), now the African Cen tre for Gender Development 
(ACGD).  
 
",26.pdf
the African Cen,Gender Development,"It was organized by the 
African Centre for Women (ACW), now the African Cen tre for Gender Development 
(ACGD).  
 
",26.pdf
