source,target,sentence,document,cleaned_source,cleaned_target
ITF,ICAA,"Finally, the ITF can report that comprehensive policy documents have been 
provided by the ICAA and the previous insurance policy has been cancelled. 
",35.pdf,itf,icaa
Mark Gough,Peacekeeping Investigations Unit,"If you have any questions or comments regarding this report, please do not 
hesitate to contact Mr. Mark Gough, Chief, Peacekeeping Investigations Unit, in 
our Vienna office at +43-1-26060-5406. 
",35.pdf,mark gough,peacekeeping investigations unit
Peacekeeping Investigations Unit,Vienna,"If you have any questions or comments regarding this report, please do not 
hesitate to contact Mr. Mark Gough, Chief, Peacekeeping Investigations Unit, in 
our Vienna office at +43-1-26060-5406. 
",35.pdf,peacekeeping investigations unit,vienna
Jean-Marie Guehenno,USG,"Cc: Mr. Jean-Marie Guehenno, USG, DPKO 
Ipav",35.pdf,jean-marie guehenno,usg
USG,"DPKO 
Ipav","Cc: Mr. Jean-Marie Guehenno, USG, DPKO 
Ipav",35.pdf,usg,dpko ipav
Japan,"Cherry Feud
WikiLeaks","NSA Global SIGINT Highlights 
US Sets NSA on Japan over Cherry Feud
WikiLeaks release: July 31, 2015
",108.pdf,japan,cherry feud wikileaks
"Cherry Feud
WikiLeaks","July 31, 2015","NSA Global SIGINT Highlights 
US Sets NSA on Japan over Cherry Feud
WikiLeaks release: July 31, 2015
",108.pdf,cherry feud wikileaks,july 31 2015
a Secret US National Security Agency,NSA,"This is a Secret US National Security Agency (NSA) 2009 report derived from intelligence intercepts of 
officials within the Japanese Ministry of Agriculture, Forestry and Fisheries.",108.pdf,a secret us national security agency,nsa
NSA,2009,"This is a Secret US National Security Agency (NSA) 2009 report derived from intelligence intercepts of 
officials within the Japanese Ministry of Agriculture, Forestry and Fisheries.",108.pdf,nsa,2009
2009,"the Japanese Ministry of Agriculture, Forestry and Fisheries","This is a Secret US National Security Agency (NSA) 2009 report derived from intelligence intercepts of 
officials within the Japanese Ministry of Agriculture, Forestry and Fisheries.",108.pdf,2009,the japanese ministry of agriculture forestry and fisheries
National Security Agency,Japan,"The report indicates that the 
National Security Agency knew of the options under consideration within the Ministry for how Japan 
should seek to patch up bilateral relations with the US over a trade dispute concerning the import of US 
cherries.",108.pdf,national security agency,japan
National Security Agency,NSA,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,national security agency,nsa
NSA,Top Secret,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,nsa,top secret
Top Secret,NOFORN,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,top secret,noforn
NOFORN,United States,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,noforn,united states
United States,USA,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,united states,usa
USA,Japan,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,usa,japan
Japan,"European
Union","Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,japan,european union
Ministry of Agriculture Forestry and Fisheries,MAFF,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,ministry of agriculture forestry and fisheries,maff
Cherry,National Security Agency,"Description
Keywords:National Security Agency, NSA, Top Secret, SIGINT, NOFORN,
intelligence, intercept, espionage, United States, USA, Japan, European
Union, EU, Ministry of Agriculture Forestry and Fisheries, MAFF, US
Department of Agriculture, food imports, trade liberalization, agriculture,
inspections, beef, cherries
Restraint:TOP SECRET//COMINT//ORCON/NOFORN
Title:Japanese Strive to Avoid Damage to U.S. Relations Over Cherry
Imports
Date:2009
Organisation:National Security Agency (NSA)
",108.pdf,cherry,national security agency
Tokyo,this month,"MAFF was alarmed by the 
very strong reaction of the U.S. Department of Agriculture to Tokyo's  
ruling that imports could not commence until the end of this month, 
when a pilot program involving inspections in the U.S. Pacific 
Northwest by a MAFF inspector is expected to be concluded 
satisfactorily. ",108.pdf,tokyo,this month
Z­3/OO/515570­09,221708Z,"Unconventional
 
Japanese governmental 
 
Z­3/OO/515570­09, 221708Z",108.pdf,z3oo51557009,221708z
Kosovo,"Investigation Task Force 
 
 
Allegations","UNITED NATIONS  
United Nations Interim 
Administration Mission in Kosovo  
  
UNMIK NATIONS UNIES 
Mission d’Administration Intérimaire 
des Nations Unies au Kosovo  
Investigation Task Force 
 
 
Allegations of theft and corruption arising out of the collection of handling and 
landing fees and de-icing costs for passenger aircr aft using Pristina Airport. 
",31.pdf,republic of kosovo,investigation task force allegations
February 2003,"the Chartered 
Accountants","This case arises out of an audit report dated 28  February 2003 into the financial 
statements of Pristina International Airport conduc ted by the Chartered 
Accountants which led to an investigation concernin g alleged corruption and 
irregularities arising in the course of procurement s and contracts at Pristina 
International Airport. 
 
",31.pdf,february 2003,the chartered accountants
• Employees,Pri,"There are three specific allegations in this rep ort of investigation: 
• Employees overcharged commercial flights using Pri stina Airport for handling and 
landing fees and other services. 
",31.pdf,employees,pri
12 December 1999,Kosovo,"II. APPLICABLE TERRITORIAL LAWS AND UNITED NATIONS 
PROCEDURAL RULES 
 
Section 1 of UNMIK Regulation 1999/24  dated 12 December 1999 as amended, 
states that the law applicable in Kosovo shall be: 
a)",31.pdf,12 december 1999,republic of kosovo
Kosovo,22 March 1989,"The Law in force in Kosovo on 22 March 1989.” 
 
UN Staff Regulations 1.2 (b)  stipulates “Staff members shall uphold the highest  
standards of efficiency, competence and integrity” 
 
Staff Rule 110.1: Misconduct .",31.pdf,republic of kosovo,22 march 1989
2001,2003,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",31.pdf,2001,2003
2003,"the 
Public Enterprise Airport Pristina","During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",31.pdf,2003,the public enterprise airport pristina
"the 
Public Enterprise Airport Pristina",Kosovo Force,"During the period 
covered by this investigation, from 2001 until 2003 , they were maintained by the 
Public Enterprise Airport Pristina, (PEAP) in coope ration with Military Units of the 
Kosovo Force (KFOR).",31.pdf,the public enterprise airport pristina,kosovo force
United Nations Sec,Council,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf,united nations sec,council
Council,10 June 1999,"Pursuant to United Nations Sec urity Council Resolution 
1244 dated 10 June 1999, and UNMIK Regulation No 1/ 1999 dated 25 July 1999, 
UNMIK is mandated to administer the territory of Ko sovo, including state owned 
and publicly owned assets.",31.pdf,council,10 june 1999
